SEASON,LAT,LON,WMO_WIND,WMO_PRES,NATURE,high_risk
1853,19.3,-56.2,130.0,924.0,TS,1
1855,18.3,-69.3,50.0,997.0,TS,0
1867,18.4,-64.8,100.0,952.0,TS,1
1869,23.7,-58.6,80.0,979.0,TS,1
1871,17.5,-62.7,100.0,965.0,TS,1
1871,18.8,-65.3,100.0,962.0,TS,1
1875,23.6,-58.2,70.0,982.0,TS,1
1876,18.4,-67.4,70.0,991.0,TS,1
1884,22.0,-57.0,100.0,957.0,TS,1
1891,14.6,-61.1,110.0,961.0,TS,1
1898,13.6,-61.5,95.0,965.0,TS,1
1898,23.2,-67.0,80.0,977.0,TS,1
1899,16.5,-62.0,130.0,930.0,TS,1
1899,18.0,-66.2,120.0,940.0,TS,1
1903,14.5,-61.4,90.0,970.0,TS,1
1916,15.5,-61.6,70.0,986.0,TS,1
1916,17.3,-64.4,95.0,963.0,TS,1
1921,16.9,-68.0,100.0,961.0,TS,1
1924,16.6,-61.8,95.0,965.0,TS,1
1924,18.5,-64.9,95.0,967.0,TS,1
1926,23.0,-60.2,105.0,957.0,TS,1
1927,23.3,-65.7,110.0,950.0,TS,1
1928,16.2,-61.5,120.0,940.0,TS,1
1928,18.0,-65.9,140.0,931.0,TS,1
1928,18.4,-66.9,120.0,941.0,TS,1
1930,18.4,-70.0,135.0,933.0,TS,1
1931,18.5,-65.4,75.0,987.0,TS,1
1932,17.7,-63.0,120.0,948.0,TS,1
1932,18.0,-65.0,125.0,943.0,TS,1
1933,23.4,-55.2,115.0,948.0,TS,1
1935,18.2,-69.5,30.0,1006.0,TS,0
1937,20.0,-57.9,90.0,969.0,TS,1
1937,20.7,-57.7,110.0,951.0,TS,1
1937,21.4,-57.4,110.0,955.0,TS,1
1940,21.6,-71.4,40.0,1003.0,TS,0
1944,15.2,-66.6,90.0,973.0,TS,1
1945,17.4,-59.2,45.0,1009.0,TS,0
1947,17.6,-58.4,85.0,977.0,TS,1
1947,22.0,-66.4,110.0,952.0,TS,1
1947,24.2,-70.4,125.0,938.0,TS,1
1947,20.0,-66.2,45.0,1000.0,TS,0
1947,22.8,-70.2,70.0,990.0,TS,1
1947,23.7,-70.4,80.0,981.0,TS,1
1948,14.2,-63.1,30.0,1007.0,TS,0
1949,23.3,-66.6,70.0,993.0,TS,1
1949,21.0,-66.6,70.0,987.0,TS,1
1949,23.0,-67.0,60.0,995.0,TS,0
1949,23.5,-67.2,60.0,994.0,TS,0
1949,24.1,-67.4,60.0,994.0,TS,0
1949,25.0,-71.4,65.0,995.0,TS,1
1950,22.0,-63.2,55.0,997.0,TS,0
1950,22.7,-63.8,60.0,995.0,TS,0
1950,23.4,-65.4,60.0,995.0,TS,0
1950,23.9,-66.0,65.0,989.0,TS,1
1950,16.9,-60.6,70.0,990.0,TS,1
1950,17.0,-61.0,75.0,987.0,TS,1
1950,16.8,-62.9,45.0,1003.0,TS,0
1950,16.2,-59.2,110.0,953.0,TS,1
1950,19.5,-64.3,100.0,962.0,TS,1
1951,14.4,-58.9,55.0,999.0,TS,0
1951,15.9,-66.7,65.0,992.0,TS,1
1951,16.6,-73.1,85.0,978.0,TS,1
1951,17.1,-74.6,95.0,971.0,TS,1
1951,14.3,-64.3,70.0,992.0,TS,1
1951,14.8,-69.4,70.0,993.0,TS,1
1951,15.1,-74.2,45.0,1004.0,TS,0
1951,22.3,-60.6,90.0,967.0,TS,1
1951,22.6,-61.9,100.0,957.0,TS,1
1952,21.9,-64.6,55.0,1003.0,TS,0
1952,22.2,-65.6,60.0,998.0,TS,0
1952,24.2,-69.3,55.0,1002.0,TS,0
1952,18.2,-58.7,60.0,1003.0,TS,0
1952,22.8,-63.0,65.0,993.0,TS,1
1952,23.7,-64.2,65.0,996.0,TS,1
1952,18.0,-55.5,45.0,1002.0,TS,0
1952,18.7,-55.9,45.0,1001.0,TS,0
1952,20.4,-57.0,40.0,1001.0,TS,0
1952,21.5,-58.9,30.0,1009.0,TS,0
1952,22.1,-59.6,25.0,1008.0,TS,0
1952,24.4,-74.5,55.0,994.0,TS,0
1953,20.0,-60.1,140.0,929.0,TS,1
1953,24.9,-64.0,115.0,942.0,TS,1
1953,20.7,-69.4,50.0,1005.0,TS,0
1953,23.0,-70.1,60.0,999.0,TS,0
1953,23.9,-70.5,65.0,990.0,TS,1
1953,24.9,-70.8,65.0,989.0,TS,1
1953,20.9,-66.8,65.0,995.0,TS,1
1953,21.9,-68.0,75.0,987.0,TS,1
1953,24.6,-70.8,80.0,977.0,TS,1
1954,22.9,-72.8,65.0,995.0,TS,1
1954,23.6,-73.5,70.0,992.0,TS,1
1954,24.2,-74.3,75.0,990.0,TS,1
1954,12.1,-60.5,55.0,1002.0,TS,0
1954,12.5,-64.3,70.0,998.0,TS,1
1954,12.6,-65.6,70.0,998.0,TS,1
1954,13.2,-68.7,70.0,997.0,TS,1
1954,13.5,-69.7,70.0,994.0,TS,1
1954,13.6,-71.8,75.0,986.0,TS,1
1954,21.7,-73.3,85.0,972.0,TS,1
1954,22.7,-73.5,85.0,974.0,TS,1
1954,18.1,-62.8,65.0,991.0,TS,1
1954,18.0,-63.0,65.0,991.0,TS,1
1954,16.8,-64.1,55.0,999.0,TS,0
1954,15.9,-65.0,50.0,1000.0,TS,0
1955,18.5,-57.9,75.0,985.0,TS,1
1955,19.6,-63.9,100.0,968.0,TS,1
1955,22.0,-67.6,115.0,952.0,TS,1
1955,22.8,-68.8,120.0,944.0,TS,1
1955,23.8,-61.8,45.0,1004.0,TS,0
1955,23.4,-60.0,50.0,998.0,TS,0
1955,14.0,-55.8,35.0,1007.0,TS,0
1955,17.9,-60.6,50.0,1001.0,TS,0
1955,18.5,-61.4,50.0,1000.0,TS,0
1955,21.9,-64.4,70.0,990.0,TS,1
1955,24.1,-69.3,75.0,985.0,TS,1
1955,20.0,-68.5,55.0,996.0,TS,0
1955,20.2,-73.6,70.0,986.0,TS,1
1955,20.2,-74.2,70.0,986.0,TS,1
